"","Dim1","Dim2","Dim3"
"S9",0.379123713460031,-0.0171177886789139,0.017558793589307
"S36",-0.273129369725379,0.0815810451556082,-0.0638339332622945
"S3",0.393528379375769,-0.0640205943560407,-0.0433102994797062
"S2",0.246018945679258,0.0678447691383745,0.0707590675466751
"S1",-0.0565438207035611,-0.148789424962519,-0.0850786613809893
"S7",-0.00909112834887302,-0.00569515156407728,0.0580659043075187
"S6",0.0904401893810592,-0.260457251095526,-0.0692447441002578
"S5",-0.193243679960728,-0.190863516218318,0.0118288343958985
"S30",-0.168940367319145,-0.2293553005455,0.111229574784277
"S8",-0.111346513407218,-0.104899924895654,-0.0567612096945003
"S33",-0.0507791850684933,0.19053804875186,-0.00743892577418075
"S32",-0.251711240554772,-0.234315885778965,0.0704824605381142
"S4",0.215723797660278,-0.190070201978383,-0.108580120907893
"S19",0.214908428954528,0.215865909969635,-0.175503558437846
"S18",0.358862295010301,0.0025879474232253,0.0759798447564084
"S39",-0.0475385784756266,0.261512246836433,0.243210453482653
"S38",-0.234204920463108,-0.32183974098865,0.094446121182239
"S13",-0.23342724032108,-0.0482023574544881,-0.095775579513829
"S12",0.107732240789955,-0.0176384924165581,-0.0961181372076239
"S11",0.117696324875612,0.142478943853344,-0.14649319153248
"S10",0.14363951612663,-0.211782539874466,-0.101391587848076
"S17",0.034776528599545,0.168169043900915,-0.250835703300888
"S16",0.254111201621572,-0.0771980452306242,-0.088682357937128
"S15",0.098175987225589,-0.192077864254176,-0.0927109346018992
"S14",0.336532503513778,-0.0231372905537574,-0.025531063944015
"S22",-0.280989796534457,-0.238429217229396,0.0507984877754383
"S23",-0.177248359677076,-0.210798850645578,0.0958036131282916
"S20",-0.210378944516233,0.236268546382872,-0.196956169712697
"S21",-0.241856656801011,-0.276382246861655,0.0698151380876772
"S26",0.00781038350289464,0.255755544233558,0.25018137543443
"S27",0.122857691701994,-0.120091568797031,-0.00851628661518788
"S24",0.0691827255901735,0.138415349234047,0.59557304301466
"S25",-0.245695720763199,0.059751034505887,-0.0977193402965534
"S28",0.29016795519338,-0.0950962735785633,0.019967772670097
"S29",-0.214036964149264,0.319408828080392,-0.130181379598852
"S35",-0.15664128772246,0.208557992623361,-0.0913941250757762
"S34",-0.115537261186789,0.312891806443071,-0.0549101714799929
"S40",-0.0973416025846796,0.232784588871064,-0.092186811209752
"S31",-0.159823559167945,0.209127899551008,-0.0321501937609303
"S37",0.0482173891887495,0.174719983004187,0.375604001979661
